position,content,type,speaker
672,"Be still, mon cherie, for I am you savior!  And I am rescuing you from this green...",dialog,Monsieur Hood
673,"(Monsieur Hood brings Fiona's hand to his chest, and then carpets Fiona's arms with kisses as she pulls back in disgust)",action,
674,...beast.,dialog,Monsieur Hood
675,"(His smile is only met with annoyance, which confuses him)",action,
676,Hey! That's my princess! Go find you own!,dialog,Shrek
677,"Please, monster! Can't you see I'm a little busy here?",dialog,Monsieur Hood
678,(Fiona gives Monsieur Hood a one-handed push and jams her finger into his chest),action,
679,"Look, pal, I don't know who you think you are!",dialog,Fiona
680,"Oh! Of course! Oh, how rude. Please let me introduce myself.",dialog,Monsieur Hood
681,He cups his hand and calls into the woods,setting,
682,"Oh, Merry Men! (laughs)",dialog,Monsieur Hood
683,(Suddenly an accordion begins to play and the Merrymen pop out from the bushes. They begin to sing along with Monsieur Hood),action,
684,"Ta, dah, dah, dah, whoo.",dialog,Merrymen
685,I steal from the rich and give to the needy.,dialog,Monsieur Hood
686,"He takes a wee percentage,",dialog,Merryman
687,"But I'm not greedy. I rescue pretty damsels, man, I'm good.",dialog,Monsieur Hood
688,"What a guy, Monsieur Hood.",dialog,Merrymen
689,Break it down. I like an honest fight and a saucy little maid...,dialog,Monsieur Hood
690,What he's basically saying is he likes to get...,dialog,Merrymen
691,Paid! So...When an ogre in the bush grabs a lady by the tush. That's bad.,dialog,Monsieur Hood
692,That's bad. That's bad. That's bad!,dialog,Merrymen
693,When a beauty's with a beast it makes me awfully mad!,dialog,Monsieur Hood
694,"He's mad, he's really, really mad!",dialog,Merrymen
695,"(Fiona, still up in the tree, looks down. Her expression changes from confusion to horror as Monsieur Hood sings the last line)",action,
696,"I'll take my blade and ram it through your heart, keep your eyes on me, boys 'cause I'm about to start...",dialog,Monsieur Hood
697,"(Fiona swings down from the tree limb and kicks Monsieur Hood in the head, knocking him unconscious. She lands with a back flip in front of Shrek and Donkey)",action,
698,"Man, that was annoying!",dialog,Fiona
699,(Shrek looks at her in admiration),action,
700,"Oh, you little--",dialog,Merryman
701,"(The Merry Man shoots an arrow at Fiona but she ducks out of the way. The arrow flies past her and towards Donkey, who jumps into Shrek's arms to get out of the way. Fiona demonstrates her martial arts skills and easily defeats up every last Merryman. The Merrymen are left on lying on the ground and Fiona walks away. Fiona looks a little embarrassed as she smoothes out her dress and regains her composure)",action,
702,"Uh, shall we?",dialog,Fiona
703,Hold the phone.,dialog,Shrek
704,"(Taken aback, Shrek drops Donkey and begins walking after Fiona)",action,
705,"Oh! Whoa, whoa, whoa. Hold on now. Where did that come from?",dialog,Shrek
706,What?,dialog,Fiona
707,That! Back there. That was amazing! Where did you learn that?,dialog,Shrek
708,(Fiona blushes),action,
709,"Well...(laughs) when one lives alone, uh, one has to learn these things in case there's a...there's an arrow in your butt!",dialog,FIONA
710,(Fiona points downwards at a small arrow jutting out of Shrek's butt),action,
711,"What? Oh, would you look at that?",dialog,Shrek
712,"Oh, no. This is all my fault. I'm so sorry.",dialog,Fiona
713,"(Shrek lightly tugs at the arrow but stops, wincing in pain. Donkey catches up to them)",action,
714,Why? What's wrong?,dialog,Donkey
715,Shrek's hurt.,dialog,Fiona
716,Shrek's hurt! Shrek's hurt?!,dialog,Donkey
717,(Donkey frantically begins to scamper around),action,
718,"Oh, no, Shrek's gonna die!",dialog,Donkey
719,"Donkey, I'm okay.",dialog,Shrek
720,"You can't do this to me, Shrek. I'm too young for you to die! Keep your legs elevated! Turn your head and cough! Does anyone know the Heimlich?!",dialog,Donkey
721,(Fiona grabs Donkey's head and pulls it down to her),action,
722,"Donkey! Calm down! If you want to help Shrek, run into the woods and find me a blue flower with red thorns.",dialog,Fiona
723,"Blue flower, red thorns. Okay, I'm on it. Blue flower, red thorns. Don't die Shrek.",dialog,Donkey
724,(Donkey begins to head in a random direction into the forest.),action,
725,"And if you see a long tunnel, stay away from the light!",dialog,Donkey
726,Donkey!,dialog,Shrek and Fiona
727,"Oh, yeah. Right. Blue flower, red thorns. Blue flower, red thorns...",dialog,Donkey
728,"(Donkey marches off, still chanting, until he is out of earshot)",action,
729,What are the flowers for?,dialog,Shrek
730,For getting rid of Donkey.,dialog,Fiona
731,Ah...,dialog,Shrek
732,(Shrek's confused look turns into a big grin),action,
733,"Now you hold still, and I'll yank this thing out.",dialog,Fiona
734,Fiona grabs hold of the arrow and begins to pull. Shrek winces and jumps away.,setting,
735,Ow! Hey! Easy with the yanking!,dialog,Shrek
736,"Well, I'm sorry, but it has to come out.",dialog,Fiona
737,"No, it's tender.",dialog,Shrek
738,(As they continue to talk Fiona keeps grabbing after the arrow as Shrek dodges her attempts),action,
739,"Now, hold still.",dialog,Fiona
740,What you're doing is the opposite of help.,dialog,Shrek
741,Don't move.,dialog,Fiona
742,"Look, time out.",dialog,Shrek
743,"(Shrek puts his entire hand over Fiona's face, stopping her in her tracks)",action,
744,Would you...,dialog,Fiona
745,(She takes Shrek's hand off her face),action,
746,Okay. What do you propose we do?,dialog,Fiona
747,SHERWOOD FOREST - ELSEWHERE,setting,
748,"(Deeper in the woods, Donkey is hurriedly searching for the flower)",action,
749,"Blue flower, red thorns. Blue flower, red thorns. Blue flower, red thorns. This would be so much easier if I wasn't color-blind! Blue flower, red thorns.",dialog,Donkey
750,(Suddenly he hears a far out yell from Shrek),action,
751,Owww!,dialog,Shrek
752,"Hold on, Shrek! I'm coming!",dialog,Donkey
753,"(Donkey rips a flower off a nearby bush, which happens to be a blue flower with red thorns, and takes off running)",action,
754,SHERWOOD FOREST - CLEARING,setting,
755,"(Back in the clearing, Shrek is laying on the ground facedown, while Fiona stands over him, using both hands to try to remove the arrow)",action,
756,Ow! Not good.,dialog,Shrek
757,Okay. N--Okay. I can nearly see it...It's just about...,dialog,Fiona
758,Ow! Ohh!,dialog,Shrek
759,"(He rolls over, knocking Fiona off her feet and causing her to land on top of him. For a moment they stare into each other's eyes)",action,
760,Ahem.,dialog,Donkey
761,"(They are both startled by Donkey's interruption. Donkey, with the flower dropped at his feet, gives them a suggestive look)",action,
762,Nothing happened.,dialog,Shrek
763,(Shrek pushes Fiona off him and rolls over to face Donkey),action,
764,"We were just, uh...",dialog,Shrek
765,"Look, if you wanted to be alone, all you had to do was ask, okay?",dialog,Donkey
766,"Oh, come on! That's the last thing on my mind. The princess here was just--",dialog,Shrek
767,(Fiona quickly pulls the arrow out of Shrek's butt with one great pull),action,
768,Uggghhh!,dialog,SHREK
769,"(He turns to look at Fiona, who playfully shakes the arrow back and forth with a coy smile)",action,
770,Ow!,dialog,Shrek
771,"Hey, what's that? (chuckling) That's...is that blood?",dialog,Donkey
772,"(Donkey faints and falls into a pile of leaves. Shrek picks him up and throws him over his shoulder, and the three continue on their journey. There is a montage of scenes as the group heads back to Duloc)",action,
773,"(The group comes to a river with no path across, though it is clearly shallow enough to walk over. Shrek climbs to the top of a tree, using his weight to cause the tree to bend over the river and form a bridge. Fiona crosses first and lays a hand on Shrek's back when she gets to the other side. Shrek grins and gets up while Donkey is still crossing, launching him back to the other side. In a field, Shrek swats away at a swarm of flies following him. Fiona grabs a nearby spiderweb from a tree branch and runs through the field, swinging it around to catch the bugs. She spins the branch to form a sort of cotton candy, and hands it to Shrek as a treat. As he walks off biting it, she licks her fingers. Shrek catches a frog and blows it up like a balloon to give to Fiona. Fiona catches a snake, blows into its mouth, fashions it into a balloon animal and presents it to Shrek. Fiona starts a playful shoving match with Shrek, with Shrek ultimately flinging her into the bushes. She throws a twig at him as they both laugh, letting go of their balloons. Donkey jumps after them)",action,
774,WINDMILL - EXTERIOR,setting,
775,"(After breaking out of the forest, the group arrives onto a small rise where an old, ruined windmill stands. The fields of Duloc stretch out before before, and further in the distance stands the Duloc Castle)",action,
776,"There it is, princess. Your future awaits you.",dialog,Shrek
777,That's Duloc?,dialog,Fiona
778,"(Fiona stands with her arm on Shrek's, but Donkey butts in-between them. They both shrug at each other)",action,
779,"Yeah, I know. You know, Shrek thinks Lord Farquaad's compensating for something, which I think means he has a really...",dialog,Donkey
780,"(Shrek interrupts Donkey by stepping on his foot, causing him to fall to the ground in pain. Fiona gives Shrek a suspicious look)",action,
781,Oww!,dialog,Donkey
782,"Um, I, uh-- I guess we better move on.",dialog,Shrek
783,"Sure. But, Shrek? I'm-- I'm worried about Donkey.",dialog,Fiona
784,What?,dialog,Shrek
785,"I mean, look at him. He, he doesn't look so good.",dialog,Fiona
786,(Nothing seems to be wrong with Donkey. Shrek smiles knowingly at Fiona),action,
787,What are you talking about? I'm fine.,dialog,Donkey
788,(Fiona kneels down and takes Donkey's head in her arms),action,
789,"Well that's what they always say and then...then...then the next thing you know, you're on your back. Dead.",dialog,Fiona
790,"You know, she's right. You look awful. Do you want to sit down?",dialog,Shrek
791,"Uh, you know, I'll make you some tea.",dialog,Fiona
792,"I didn't want to say nothing, but I got this twinge in my neck, and when I turn my head like this, look.",dialog,Donkey
793,"(Donkey sharply leans his head to the side, letting out a loud crack)",action,
794,Ow! See?,dialog,Donkey
795,"(Shrek and Fiona give each happy looks, having made up an excuse to stall for time)",action,
796,Who's hungry? I'll find us some dinner.,dialog,Shrek
797,I'll get the firewood.,dialog,Fiona
798,(Shrek and Fiona both walk off in separate directions),action,
799,"Hey, where you going? Oh, man, I can't feel my toes! (looks down) I don't have any toes! I think I need a hug.",dialog,Donkey
800,WINDMILL - EXTERIOR - EVENING,setting,
801,Shrek has built a fire and is cooking something on a spit while Fiona eats.,setting,
802,Mmm. This is good. This is really good. What is this?,dialog,Fiona
803,"Uh, weed rat. Rotisserie style.",dialog,Shrek
804,"No kidding. Well, this is delicious.",dialog,Fiona
805,"Well, they're also great in stews. Now, I don't mean to brag, but I make a mean weed rat stew.",dialog,Shrek
806,"(Fiona smiles, but it quickly fades as she looks off at Duloc in the distance)",action,
807,I guess I'll be dining a little differently tomorrow night.,dialog,Fiona
808,"Maybe you can come visit me in the swamp sometime. I'll cook all kind of stuff for you. Swamp toad soup, fish eye tartare -- you name it.",dialog,Shrek
809,"(Fiona is now intently looking at Shrek, smiling)",action,
810,"Hmmm, I'd like that.",dialog,Fiona
811,(They gaze into each other's eyes longingly),action,
812,Um...princess?,dialog,Shrek
813,Yes...Shrek?,dialog,FIONA
814,"I, um, I was wondering...are you...(sighs) Are you gonna eat that?",dialog,Shrek
815,"(Shrek points to her last piece of food. Fiona, expecting a different question, removes the weedrat while Shrek is annoyed by the words that couldn't come out. Fiona hands it to Shrek and he grabs onto her hand. The two slowly lean towards each other. Donkey interrupts the moment)",action,
816,"Man, isn't this romantic? Just look at that sunset.",dialog,Donkey
817,(Shrek and Fiona are both startled out of their moment. Fiona's mood changes and she sits up to abruptly face the sunset),action,
818,"Sunset?! Oh, no! I mean, it's late. I-It's very late.",dialog,Fiona
819,(She begins backing up toward the windmill),action,
820,What?,dialog,Shrek
821,Wait a minute. I see what's going on here.,dialog,Donkey
822,(Fiona looks at Donkey and freezes with panic),action,
823,"You're afraid of the dark, aren't you?",dialog,Donkey
824,"Yes! Yes, that's it. I'm terrified. You know, I'd better go inside.",dialog,Fiona
825,(She smiles as she turns around to walk up the windmill's steps. She breathes a sigh of relief),action,
826,"Don't feel bad, Princess. I used to be afraid of the dark, too, until -- Hey, no, wait. I'm still afraid of the dark.",dialog,Donkey
827,(Shrek groans and Fiona chuckles),action,
828,Good night.,dialog,Fiona
829,Good night.,dialog,Shrek
830,"(Fiona goes inside the windmill, gives Shrek a look, and closes the door. Donkey looks at Shrek with a new eye)",action,
831,Ohh! Now I really see what's going on here.,dialog,Donkey
832,"Oh, what are you talkin' about?'",dialog,Shrek
833,(Donkey trots over to Shrek as he kneels by the fire and fiddles with one of the spits),action,
834,"I don't even wanna hear it. Look, I'm an animal, and I got instincts. And I know you two were diggin' on each other. I could feel it.",dialog,Donkey
835,You're crazy. I'm just bringing her back to Farquaad.,dialog,Shrek
836,"Oh, come on, Shrek. Wake up and smell the pheromones. Just go on in and tell her how you feel.",dialog,Donkey
837,"I--there's nothing to tell. Besides, even if I did tell her that, well, you know-- and I'm not sayin' I do, 'cause I don't -- she's a princess, and I'm...",dialog,Shrek
838,An ogre?,dialog,Donkey
839,Yeah. An ogre.,dialog,Shrek
840,(Shrek tosses the spit aside and trudges away),action,
841,"Hey, where you going?",dialog,Donkey
842,To get...more firewood.,dialog,Shrek
843,(Donkey looks suspiciously over at the large pile of firewood already piled up. Shrek sits on the hill and gazes out at Duloc until nightfall),action,
844,WINDMILL - EXTERIOR - NIGHT,setting,
845,(Donkey opens the door to the windmill and steps in. The abandoned windmill is filed with shadows and cobwebs. All is quiet and Fiona is nowhere to be seen),action,
846,"Princess? Princess Fiona? Princess, where are you?",dialog,Donkey
847,"A group of birds flocks out the top of the roof, startling Donkey. He continues on.",setting,
848,Princess?,dialog,Donkey
849,(A hand grips the rungs of a ladder),action,
850,It's very spooky in here. I ain't playing no games.,dialog,Donkey
851,"(Fiona looks at Donkey, cloaked in shadows, from up above on a platform. She tries to sneak away, but a wood plank breaks and she falls down with a crash. She screams and lands on a sack of flour, launching a cloud of flour into the air. Donkey is frozen with fear, unable to tell who the figure is)",action,
852,Aah!,dialog,Donkey
853,"No, no!",dialog,Fiona
854,"No, help!",dialog,Donkey
855,Shh!,dialog,Fiona
856,"(An ogress emerges from the cloud of flour, approaching Donkey)",action,
857,Shrek! Shrek! Shrek!,dialog,Donkey
858,"No, it's okay! It's okay!",dialog,Fiona
859,What did you do with the princess?!,dialog,Donkey
860,"Donkey, shh! I'm the princess.",dialog,Fiona
861,Aah!,dialog,Donkey
862,"It's me, in this body.",dialog,Fiona
863,"Oh, my God! You ate the princess. (to her stomach) Can you hear me?",dialog,Donkey
864,Donkey!,dialog,Fiona
865,"(still aimed at her stomach) Listen, keep breathing! I'll get you out of there!",dialog,Donkey
866,No!,dialog,Fiona
867,Shrek! Shrek! Shrek!,dialog,Donkey
868,(Covering Donkey's mouth) Shh.,dialog,Fiona
869,(Muffled) Shrek!,dialog,Donkey
870,This is me.,dialog,Fiona
871,"(Donkey looks into her eyes as she pets his muzzle, and he calms down)",action,
872,"Princess...? What happened to you? You're, uh...uh...eh...different.",dialog,Donkey
873,"I'm ugly, okay?",dialog,Fiona
874,"Well, yeah! Well was it something you ate? 'Cause I told Shrek those rats was a bad idea. You are what you eat, I said. Now--",dialog,Donkey
875,No! I -- I've been this way as long as I can remember.,dialog,Fiona
876,"What do you mean? Look, I ain't never seen you like this before.",dialog,Donkey
877,It only happens when sun goes down.,dialog,Fiona
878,"(Fiona leans over a barrel filled with water, looking at her reflection)",action,
879,"""By night one way, by day another. This shall be the norm... until you find true love's first kiss... and then take love's true form.""",dialog,Fiona
880,"Aww, that's beautiful. I didn't know you wrote poetry.",dialog,Donkey
881,"It's a spell. (sigh) When I was a little girl, a witch cast a spell on me. Every night I become this. This horrible, ugly beast!",dialog,Fiona
882,"(Fiona smacks her reflection in the water, which splashes water onto Donkey)",action,
883,I was placed in a tower to await the day my true love would rescue me. That's why I have to marry Lord Farquaad tomorrow before the sun sets and he sees me...like this.,dialog,Fiona
884,(She holds her head and begins to cry),action,
885,"All right, all right. Calm down. Look, it's not that bad. You're not that ugly. Well, ok, I ain't gonna lie. You are ugly. But you only look like this at night. Shrek's ugly 24/7.",dialog,Donkey
886,"But Donkey, I'm a princess, and this is not how a princess is meant to look.",dialog,Fiona
887,"Princess, how 'bout if you don't marry Farquaad?",dialog,Donkey
888,I have to. Only my true love's kiss can break the spell.,dialog,Fiona
889,"But, you know, um...you're kind of an ogre. And Shrek...well...you got a lot in common.",dialog,Donkey
890,Shrek?,dialog,Fiona
891,WINDMILL EXTERIOR,setting,
892,"(Shrek is walking towards the windmill with a sunflower in his hand, talking to himself)",action,
893,"Princess, I-- Uh, how's it going, first of all? Good? Um, good for me too. I'm okay. I saw this flower and thought of you because it's pretty and-- well, I don't really like it but I thought you might like it 'cause you're pretty. But I like you anyway. I'd-- uh, uh...(sighs) I'm in trouble. Okay, here we go.",dialog,Shrek
894,(He walks up to the door and pauses outside when he hears Donkey and Fiona talking),action,
895,"I can't just marry whoever I want. Take a good look at me, Donkey. I mean, really, who can ever love a beast so hideous and ugly? ""Princess"" and ""ugly"" don't go together. That's why I can't stay here with Shrek.",dialog,Fiona
896,"(Shrek steps back in shock, misunderstanding the conversation's meaning)",action,
897,"My only chance to live happily ever after is to marry my true love. Don't you see, Donkey? That's just how it has to be.",dialog,Fiona
898,(Shrek heaves a deep sigh. He throws the flower down and walks away angrily),action,
899,WINDMILL INTERIOR,setting,
900,It's the only way to break the spell.,dialog,Fiona
901,Well you at least gotta tell Shrek the truth.,dialog,Donkey
902,(Donkey walks over to the door),action,
903,No! You can't breathe a word. No one must ever know.,dialog,Fiona
904,What's the point of being able to talk if you gotta keep secrets?,dialog,Donkey
905,Promise you won't tell. Promise!,dialog,Fiona
906,"All right, all right. I won't tell him. But you should.",dialog,Donkey
907,(Donkey steps outside and talks to himself),action,
908,"I just know before this is over, I'm gonna need a whole lot of serious therapy. Look at my eye twitching.",dialog,Donkey
909,"(Fiona opens the door and watches him walk away. She looks down and spots the sunflower left by the door. She picks it up and looks around, then heads back inside and closes the door. Donkey falls asleep by the fire outside)",action,
910,WINDMILL INTERIOR - MORNING,setting,
911,"(Donkey is asleep. Fiona is still awake, plucking at petals from the sunflower)",action,
912,"I tell him, I tell him not. I tell him, I tell him not...",dialog,Fiona
913,"(Fiona picks the last petal off the sunflower, smiling)",action,
914,I tell him! Shrek!,dialog,Fiona
915,(She opens the door and steps outside),action,
916,Shrek! There's something I want...,dialog,Fiona
917,"(Fiona looks around for Shrek only to see Donkey sleeping. She sees the rising sun, and as the sun crests the sky, she turns back into a human. She looks up again to see Shrek stomping towards her. She hurries over to him)",action,
918,Shrek! Are you all right?,dialog,Fiona
919,"(She puts her hand on his arm, but he nudges it away and walks past her)",action,
920,Perfect! Never been better.,dialog,Shrek
921,I...I don't...there's something I have to tell you.,dialog,Fiona
922,"You don't have to tell me anything, princess. I heard enough last night.",dialog,Shrek
923,You heard what I said?,dialog,Fiona
924,Every word.,dialog,Shrek
925,(Shrek sits down on the steps of the windmill and faces Fiona),action,
926,I thought you'd understand.,dialog,Fiona
927,"Oh, I understand. Like you said, ""Who could love a hideous, ugly beast?""",dialog,Shrek
928,But I thought that wouldn't matter to you.,dialog,Fiona
929,"Yeah? Well, it does.",dialog,Shrek
930,"(Fiona looks at him in shock, tears welling in her eyes. Shrek looks past her and spots a group approaching)",action,
931,"Ah, right on time. Princess, I've brought you a little something.",dialog,Shrek
932,"(Shrek gestures towards the group and Fiona stands with her mouth wide. Lord Farquaad arrives on horseback, appearing taller than usual, along with an escort of guards. Donkey wakes up with a yawn as the guards march by)",action,
933,What'd I miss? What'd I miss?,dialog,Donkey
934,"(One of the guards looms over him and he begins to scurry away, muttering to himself)",action,
935,Who said that? Couldn't have been the donkey.,dialog,Donkey
936,(Lord Farquaad stops his horse in front of Fiona),action,
937,Princess Fiona.,dialog,Lord Farquaad
938,As promised. Now hand it over.,dialog,Shrek
939,"Very well, ogre. The deed to your swamp, cleared out, as agreed. Take it and go before I change my mind.",dialog,Lord Farquaad
940,(Shrek snatches the deed out of the hands of a guard and walks away. Fiona is put off by this exchange. She reverts her attention back to the long-awaited Lord Farquaad),action,
941,"Forgive me, Princess, for startling you, but you startled me--for I have never seen such a radiant beauty before. I am Lord Farquaad.",dialog,Lord Farquaad
942,"Lord Farquaad? Oh, no, no. Forgive me, my lord, for I was just saying a short...",dialog,Fiona
943,"(Lord Farquaad snaps his finger and is lifted off his horse by his guards. Left behind on the horse is a large set of gauntlets and a pair of leg extenders that reached down to the stirrups, which made him look so tall on the saddle. and set down in front of her. Standing at the height of four and a half feet, he is much shorter than Fiona. Her look turns from nervousness to bemusement, and she awkwardly smiles)",action,
944,...farewell.,dialog,Fiona
945,"Oh, that is so sweet. You don't have to waste good manners on the ogre. It's not like it has feelings.",dialog,Lord Farquaad
946,"No, you're right. It doesn't.",dialog,Fiona
947,"(Shrek, still standing nearby with his back turned, is hurt by the comment. Donkey watches this exchange with a curious look on his face)",action,
948,"Princess Fiona, beautiful, fair, flawless Fiona. I ask your hand in marriage.",dialog,Lord Farquaad
949,"(Lord Farquaad gets down on one knee and takes Fiona's hand, pulling her down sharply)",action,
950,Will you be the perfect bride for the perfect groom?,dialog,Lord Farquaad
951,(Fiona makes eye contact with Shrek before he turns away. Her sad look turns to bitterness),action,
952,"Lord Farquaad, I accept. Nothing would make--",dialog,Fiona
953,"Excellent! I'll start the plans, for tomorrow we wed!",dialog,Lord Farquaad
954,No!,dialog,Fiona
955,(Shrek spins back around with a hopeful look on his face while Fiona tries to regain her composure),action,
956,"I mean--ah, why wait? Let's get married today. Before sunset.",dialog,Fiona
957,(Shrek glares and turns away),action,
958,"Oh, anxious, are we? You're right. The sooner, the better. There's so much to do!",dialog,Lord Farquaad
959,"(Lord Farquaad snaps his fingers and is lifted onto his horse by his guard. The guard offers Fiona assistance, but she looks up onto the saddle on her own)",action,
960,"There's the caterer, the cake, the band, the guest list. Captain, round up some guests!",dialog,Lord Farquaad
961,"(Fiona, Lord Farquaad, and his guards set off towards Duloc. Fiona gives Shrek one last spiteful look)",action,
962,"Fare thee well, ogre.",dialog,Fiona
963,(Donkey catches up to Shrek as he his walking away),action,
964,"Shrek, what are you doing? You're letting her get away!",dialog,Donkey
965,Yeah? So what?,dialog,Shrek
966,"Shrek there's something about her you don't know. Look, I-- I talked to her last night... She's --",dialog,Donkey
967,"Yeah I know you talked to her last night. You're great pals, aren't ya? Now, if you two are such good friends, why don't you follow her home?!",dialog,Shrek
968,"But Shrek, I-- I wanna go with you.",dialog,Donkey
969,"Hey I told you, didn't I? You're not coming home with me. I live alone! My swamp! Me! Nobody else! Understand? Nobody! ESPECIALLY USELESS, PATHETIC, ANNOYING, TALKING DONKEYS!",dialog,Shrek
970,"But, I thought...",dialog,Donkey
971,Yeah. You know what? You thought wrong! (storms off),dialog,Shrek
972,(sadly) Shrek.,dialog,Donkey
973,"(Montage of different scenes. Shrek arrives back home. The swamp is a mess but the fairytale creatures are gone. Fiona is being fitted for her wedding dress. Shrek throws a sunflower into the fireplace. Lord Farquaad proudly tries on his crown. Fiona stares at her wedding cake, pushing down a figure of Lord Farquaad to show his actual height. She notices a suit of armor that reminds her of Shrek. Donkey stops by a river where he finds Dragon crying, both of them happy to see each other. Shrek and Fiona both try to eat dinner but start crying)",action,
974,SHREK'S SWAMP,setting,
975,"(Shrek is sitting at the dinner table when he hears a sound outside. He goes outside to investigate, and sees Donkey assembling a line of branches and small rocks)",action,
976,Donkey? What are you doing?,dialog,Shrek
977,"I would think, of all people, you would recognize a wall when you see one.",dialog,Donkey
978,"Well, yeah. But the wall's supposed to go around my swamp, not through it.",dialog,Shrek
979,"It is, around your half. See that's your half, and this is my half.",dialog,Donkey
980,Oh! Your half? Hmm.,dialog,Shrek
981,"Yes, my half. I helped rescue the princess. I did half the work. I get half the booty. Now hand me that big old rock, the one that looks like your head.",dialog,Donkey
982,(Shrek starts pulling down the wall and picks up a large branch. Donkey butts his head against it and the 2 struggle over it),action,
983,Back off!,dialog,Shrek
984,"No, you back off.",dialog,Donkey
985,This is my swamp!,dialog,Shrek
986,Our swamp!,dialog,Donkey
987,"Let go, Donkey!",dialog,Shrek
988,You let go!,dialog,Donkey
989,Stubborn jackass!,dialog,Shrek
990,Smelly ogre.,dialog,Donkey
991,Fine!,dialog,Shrek
992,"(Shrek suddenly lets go of the branch, tripping Donkey over, and he walks away)",action,
993,"Hey, hey, come back here. I'm not through with you yet.",dialog,Donkey
994,"Well, I'm through with you!",dialog,Shrek
995,(Donkey starts following him),action,
996,"Uh-uh! You know, with you it's always ""me, me, me!"" Well, guess what! Now it's my turn! So you just shut up and pay attention!",dialog,Donkey
997,"(Just as Shrek nears the door to his home, Donkey jumps in front of him. Shrek walks in another direction)",action,
998,You are mean to me! You insult me and you don't appreciate anything that I do! You're always pushing me around or pushing me away.,dialog,Donkey
999,"Oh, yeah? Well, if I treated you so bad, how come you came back?",dialog,Shrek
1000,Because that's what friends do! They forgive each other!,dialog,Donkey
1001,"Oh, yeah. You're right, Donkey. I forgive you...for stabbing me in the back!",dialog,Shrek
1002,(Shrek enters the outhouse and slams the door behind him),action,
1003,"Ohhhhh! You're so wrapped up in layers, onion boy, you're afraid of your own feelings.",dialog,Donkey
1004,Go away!,dialog,Shrek
1005,"See! There you are, doing it again just like you did to Fiona. And all she ever do was like you, maybe even love you.",dialog,Donkey
1006,Love me? She said I was ugly! A hideous creature! I heard the two of you talking.,dialog,Shrek
1007,She wasn't talkin' about you. She was talkin' about...uh...somebody else.,dialog,Donkey
1008,"(After a brief silence, Shrek comes up of the outhouse)",action,
1009,She wasn't talking about me? Well then who was she talking about?,dialog,Shrek
1010,(Donkey turns his back to Shrek),action,
1011,"Uh-uh, no way. I ain't saying anything. You don't wanna listen to me. Right? Right?",dialog,Donkey
1012,Donkey!,dialog,Shrek
1013,No!,dialog,Donkey
1014,"Okay, look. I'm sorry, all right?",dialog,Shrek
1015,"(Donkey turns his head back to raise his eyebrow, and then looks away again. Shrek sighs)",action,
1016,"I'm sorry. I guess I am just a big, stupid...ugly ogre. Can you forgive me?",dialog,Shrek
1017,"Hey, that's what friends are for, right?",dialog,Donkey
1018,Right. Friends?,dialog,Shrek
1019,Friends.,dialog,Donkey
1020,(Shrek and Donkey shake on it),action,
1021,"So, um, what did Fiona say about me?",dialog,Shrek
1022,What are you asking me for? Why don't you just go ask her?,dialog,Donkey
1023,The wedding! We'll never make it in time.,dialog,Shrek
1024,"Ha-ha-ha! Never fear, for where, there's a will, there's a way and I have a way.",dialog,Donkey
1025,"(Donkey whistles loudly, and Shrek looks up to see Dragon flying overhead)",action,
1026,Donkey?!,dialog,Shrek
1027,I guess it's just my animal magnetism.,dialog,Donkey
1028,"(laughs) Aw, come here, you.",dialog,Shrek
1029,(Shrek gives Donkey a noogie),action,
1030,"All right, all right. Don't get all slobbery. No one likes a kiss ass. All right, hop on and hold on tight. I haven't had a chance to install the seat belts yet.",dialog,Donkey
1031,"(Shrek climbs up the chain still slung around Dragon's neck. Dragon lifts Donkey up with her hand. They take off, soaring through the clouds and to Duloc)",action,
1032,DULOC CATHEDRAL - INTERIOR,setting,
1033,"(The church is packed with citizens. Fiona and Farquaad are standing at the altar as the priest conducts the ceremony. Thelonius stands nearby, golding a pillow on which rests the two wedding rings. Men with prompter cards hold up cards that says 'Revered Silence')",action,
1034,"People of Duloc, we gather here today to bear witness to the union....",dialog,Bishop
1035,"(Fiona glances nervously at the window, noticing the sun slowly dropping toward the horizon)",action,
1036,Um-,dialog,Fiona
1037,...of our new king...,dialog,Bishop
1038,"Excuse me. Could we just skip ahead to the ""I do's""?",dialog,Fiona
1039,(Lord Farquaad chuckles then motions to the bishop to indulge Fiona),action,
1040,Go on.,dialog,Lord Farquaad
1041,DULOC CATHEDRAL - EXTERIOR,setting,
1042,(A large group of guards stand outside the cathedral on watch. Suddenly Dragon lands nearby and the guards flee in terror. Dragon looks back at Donkey after him and Shrek climb off of her back),action,
1043,"Go ahead, have some fun. If we need you, I'll whistle. How about that?",dialog,Donkey
1044,"(Dragon smiles, and nods, and takes off towards the town streets. Shrek runs for the cathedral doors but Donkey hurries to get in his way)",action,
1045,"Shrek, wait, wait! Wait a minute! You wanna do this right, don't you?",dialog,Donkey
1046,What are you talking about?,dialog,Shrek
1047,"There's a line, there's a line you gotta wait for. The priest is gonna say, ""Speak now or forever hold your peace."" And that's when you say, ""I object!""",dialog,Donkey
1048,"Oh, I don't have time for this!",dialog,Shrek
1049,"Hey, wait. What are you doing? Listen to me!",dialog,Donkey
1050,(Shrek pushes past him but Donkey pins him against the door),action,
1051,"Look, you love this woman, don't you?",dialog,Donkey
